X,ForType,EqatuationP12
1,SW,31.5339*(1-(1-(H1/31.5339)^0.9810)* exp(-0.0289*Dt))^(1/0.9810)
2,PJ,27.6120*(1-(1-(H1/27.6120)^0.8118)* exp(-0.0337*Dt))^(1/0.8118)
3,PW,44.1374*(1-(1-(H1/44.1374)^0.9344)* exp(-0.0111*Dt))^(1/0.9344)
4,PR,35.0058*(1-(1-(H1/35.0058)^0.9507)* exp(-0.0198*Dt))^(1/0.9507)
5,MXC,30.4399*(1-(1-(H1/30.4399)^0.9682)* exp(-0.0144*Dt))^(1/0.9682)
6,MXH,37.9677*(1-(1-(H1/37.9677)^0.9394)* exp(-0.0110*Dt))^(1/0.9394)
7,INT,36.6768*(1-(1-(H1/36.6768)^0.8736)* exp(-0.0146*Dt))^(1/0.8736)
8,HD,34.1655*(1-(1-(H1/34.1655)^0.8563)* exp(-0.0106*Dt))^(1/0.8563)
9,OR,33.1844*(1-(1-(H1/33.1844)^0.7080)* exp(-0.0149 *Dt))^(1/0.7080)
